Trial,Accuracy,RT
1447,0,5.375
1448,0,0.125
1449,1,1.3125
1450,0,0.25
1451,1,1.25
1452,0,5.375
1453,1,1.25
1454,1,1.25
1455,0,5.4375
1456,1,1.1875
1457,0,0.25
1458,1,1.25
1459,0,5.375
1460,1,1.25
1461,1,1.25
1462,1,1.375
1463,1,1.25
1464,0,5.375
1465,0,5.3125
1466,0,5.3125
1467,0,0.125
1468,1,1.3125
1469,0,5.375
1470,1,1.1875
1471,1,1.3125
1472,0,5.375
1473,1,1.1875
1474,0,5.4375
1475,0,5.25
1476,0,5.375
1477,1,0.125
1478,1,0.1875
1479,0,5.5625
1480,1,0.125
1481,1,0.1875
1482,1,0.25
1483,0,0.1875
1484,0,5.625
1485,0,5.5
1486,0,5.4375
1487,0,5.5
1488,0,5.5
1489,1,2.3125
1490,0,5.375
1491,1,1.1875
1492,1,0.1875
1493,1,0.1875
1494,1,0.1875
1495,0,5.625
1496,1,0.125
1497,0,5.375
1498,0,5.5
1499,1,0.125
1500,0,0.1875
1501,0,5.5625
1502,1,0.125
1503,0,0.1875
1504,1,0.1875
1505,0,5.0
1506,0,5.9375
1507,0,0.125
1508,1,1.3125
1509,0,5.5625
1510,0,0.125
1511,1,0.1875
1512,0,5.0
1513,0,0.125
1514,1,0.1875
1515,0,5.5
1516,0,0.125
1517,1,0.1875
1518,0,5.0
1519,1,0.125
1520,0,5.5625
1521,0,5.0
1522,0,5.375
1523,1,0.125
1524,0,5.5
1525,1,0.0625
1526,1,3.375
1527,0,5.0
1528,0,5.3125
1529,0,0.125
1530,0,0.1875
1531,0,0.1875
1532,0,0.25
1533,0,5.5
1534,0,5.625
1535,0,5.5
1536,0,0.0625
1537,1,0.1875
1538,0,5.5
1539,0,5.3125
1540,1,1.1875
1541,1,0.1875
1542,1,1.3125
1543,0,0.25
1544,1,1.3125
1545,1,0.1875
1546,1,0.1875
1547,0,0.1875
1548,0,0.1875
1549,1,1.3125
1550,0,0.1875
1551,0,5.375
1552,0,5.3125
1553,1,0.125
1554,1,0.25
1555,0,0.1875
1556,0,5.4375
1557,1,0.125
1558,1,1.3125
1559,1,0.1875
1560,1,0.1875
1561,0,5.375
1562,1,0.125
1563,0,5.5
